suddjenbiddi	juolggesuojalm
suhkosat	suvddusa
suodjemeahcci	árjudakduobda
suohkut	guobá
suohpan	sjuohpan
suoidnesuorsá	stuorvuojatjis
suoidni	suojnne
suojus	sjærmma, sjärmma
suorbmagoahti	suormmagoahte
suorgi	suorgge
suorpmas	suormas
suotnjočoavžžu	jieggetjoavtjoj
suotnjočovžžoš	jieggetjoavtjoj
suotnjoliirráš	jieggetjoavtjoj
suotnjoliráš	jieggetjoavtjoj
suovvabohcci	riehpen
sykkel	syhkal
šállja	sállja
šearbma	sjærmma, sjärmma
šilljocihci	tjuorristsihtse
šillju	sjalljo
šimir	sjimer
tallearka	dállik, tollærkka
táhpehallat	vuojtádallat, dáhppudallat, dáhpput
telefovdna	telefåvnnå
toga	tåhka
transolmmoš	transulmusj
transsohkabeallevuohta	transsexualitäjtta, transseksualitiehtta
tráhppa	tráhppá
tráhppá	tráhppá
TV-čájálmas	doahkko
uhcačáihni	tjájnásj
uhcačoavžžu	ruodnájuolgtjoavtjoj, tjoavtjoj
uhcačovžoš	tjåvtjusj
uhcafiehta	diehppeviehtak
uhcagádjegaš	skávlle, skákle
uhcameahkástat	jieggemægástahka
uhcaviroš	tjåvtjusj
uksa	uksa
unnafiehtaš	diehppeviehtak
unnaguškkástat	gussjká, sjkussjki
unnaskávlláš	skávlle, skákle
valáštallan	spårttå, valástallam
vanas	vanntsa
vanca	vanntsa
varraloddi	liejbbelådde
váldoduopmár	oajvveduobmár
vánhemiidruhta	äjgátbálkká, æjgátbálkká
várgeheapmi	njálmostibme
várrehus	várrodus
várresieđga	siergga
várri	várre
váruhus	várrodus
vávvá	doahkko
vázzinravda	váttsáldahka
veahkkebiila	viehkkebijlla
vearromearit	värromierre, værromierre
veažir	miehtjer
vielgat	bedjat, vielggat
viessovovdna	campingvoaŋnna
viessu	goahte
viežžat	viedtjat
vigláčoavžžu	glivi
vilgesskuolfi	guvggo
vintán	vindán
vuoitit	vuojttet
vuoitomoalla	vuojttomålla
vuoitu	vuojttem, vuojtto
vuojaš	vuojatjis
vuoktafiehta	diehppeviehtak
vuoktagaccet	vuopptagattsak
vuoktagoalsi	vuopptagoalsse
vuoktaláfol	vuopptaláhul
vuokta	vuobdda
vuolpu	vuolppo
vuoncáfálli	tjuktjehábak
vuonccis	vuonntsá
vuoraš	vuoratjis
vuoražas	vuoratjis
vuorččis	vuoratjis
vuorká	fijlla
vuorrosátni	moalgedibme, replihkka, replijkka
vuorrosátni	moalgedibme, replijkka, replihkka
vuostálohkki	skáhppo, vuosstáskáhppo
vuostedeaddu	viejinis
vuotta	vuotta
vuovdaleaddji	vuovdde
vuovdečoavžžu	vuovddetjoavtjoj
vuovdegaccet	guossagattsak
vuovdemeahkástat	vuovddemægástahka
vuovdi	vuovdde
vurke nugo	vuorkkit
weblogan	nähttalågån, næhttalågån
